ID,Question,Formula,Answer
LTL_dev_1,"Every time hunger strikes, eating eventually follows.","G(hunger -> F eating)",""
LTL_dev_2,"It's never the case that rain and sunshine occur at the same time.","G(!(rain & sunshine))",""
LTL_dev_3,"Whenever the engine starts, acceleration kicks in three steps later.","G(engine_start -> X (X (X acceleration_on)))",""
LTL_dev_4,"I am a student must hold everywhere until from some point on, I am graduated holds infinitely often.","student U (G (F graduated))",""
LTL_dev_5,"Whenever an exam is scheduled, studying occurs beforehand.","G (exam_scheduled -> (!exam_scheduled U (studying & !exam_scheduled)))",""
LTL_dev_6,"If it's nighttime, then sleeping occurs.","G (nighttime -> sleeping)",""
LTL_dev_7,"Both the sun is shining and the birds are chirping in every time step.","G (sun_shining & birds_chirping)",""
LTL_dev_8,"The sun shines always, and whenever the birds sing, the cats don't meow.","G sun_shines & G(birds_sing -> !cats_meow)",""
LTL_dev_9,"If it is the case that every emission test is eventually passed, then good air quality needs to holds infinitely often.","G(emission_test -> F passed) -> G F good_air_quality",""
LTL_dev_10,"If Mark loves Stacy infinitely often, then Stacey loves Mark holds infinitely often as well.","G F mark_loves_stacey -> G F stacey_loves_mark",""
LTL_dev_11,"Either the store is open all day or the online website is accessible around the clock.","G F store_open || G F online_website_accessible",""
LTL_dev_12,"From some point in time on I am always not childless.","F G ! childless",""
LTL_dev_13,"Whenever there is no peace and no prosperity, conflict arises eventually.","G (!(peace & prosperity) -> F conflict)",""
LTL_dev_14,"Happiness and sadness never coincide, but one of them is experienced at every moment in life.","G(!(happiness & sadness)) & G(happiness || sadness)",""
LTL_dev_15,"Whenever the ingredients sugar and flour are equal in quantity, the resulting cake's taste and texture are equally good.","G ((sugar <-> flour) -> (taste <-> texture))",""
LTL_dev_16,"A meeting can only be scheduled if a room reservation has been made beforehand.","(! schedule_meeting) U room_reservation",""
LTL_dev_17,"After the shipment is delivered, a return request won't be processed again.","G (shipment_delivered -> X G ! processed_return)",""
LTL_dev_18,"After the valve is opened, water flows freely.","(water_flow U (water_flow & ! open_valve)) | G water_flow",""
LTL_dev_19,"Music practice and anyone sleeping won't happen simultaneously.","G !(music_practice & anyone_sleeping)",""
LTL_dev_20,"Whenever the oven preheats and the timer beeps for the next step, then the aroma of freshly baked cookies fills the kitchen one step after the timer beeps.","G (oven_preheats & X timer_beeps -> X X aroma)",""
LTL_dev_21,"Whenever the seeds are planted, the flowers bloom eventually from the next step onward.","G (seeds_planted -> X F flowers_bloom)",""
LTL_dev_22,"We work every fifth day.","G (work -> X !work & X X !work & X X X !work & X X X X !work & X X X X X work)",""
LTL_dev_23,"Either failed my exam holds infinitely often or passed the exam holds in the next step.","G F failed_exam || X passed_exam",""
LTL_dev_24,"Sam is taller than Ben will hold at all instances.","G (sam_taller_than_ben)",""
LTL_dev_25,"Whenever the food is hot, the food is cold in the next two steps.","G (hot_food -> (cold_food | X cold_food))",""
LTL_dev_26,"At all times, one of the following apps will be running: messaging, navigation, or music.","G (messaging | navigation | music)",""
LTL_dev_27,"If the alarm rings, someone will eventually wake up.","G (alarm_ring -> F wake_up)",""
LTL_dev_28,"The temperature must always be within a normal range, but if it exceeds that range, it allows for two time intervals to return to normal.","G (temperature_normal | X temperature_normal)",""
LTL_dev_29,"Not a day goes by where the sky is clear for more than two hours.","G !(clear_sky & X clear_sky & X X clear_sky)",""
LTL_dev_30,"The sprinklers can only activate every three hours to conserve water.","G (sprinklers_activate -> (X !sprinklers_activate & X X !sprinklers_activate & X X X !sprinklers_activate))",""
LTL_dev_31,"Every sunrise is followed by the chirping of birds.","G (sunrise -> X birds_chirping)",""
LTL_dev_32,"Eventually, you drink water while the sun shines.","F (drink_water & sun_shines)",""
LTL_dev_33,"Both the waves crashing and the seagulls flying occur eventually.","F waves_crashing & F seagulls_flying",""
LTL_dev_34,"It's always the case that the current temperature is equal to tomorrow's temperature.","G (temperature_today <-> X temperature_tomorrow)",""
LTL_dev_35,"If it's sunny then, in the next step, thunder holds until it rains or always thunder holds.","G (sunny -> X (thunder U rain | G thunder))",""
LTL_dev_36,"The party is on until the speaker is broken or always the party is on.","(party_on U speaker_broken) | G party_on",""

